stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2354,"Samarla Kota Canal, Kakinada, East Godavari",Canal,ANDHRA PRADESH,2016,Unsafe,22.32,"pH Out of Range, High BOD",,27.5,5.75,6.75,323.5,1.55,1.1,7.5,96.5
2355,"Tulje Bagh Canal, Tekri Drain, Kakinada, East Godavari",Canal,ANDHRA PRADESH,2016,Unsafe,22.48,"pH Out of Range, High BOD",,27.0,5.7,7.35,500.0,2.5,2.2,12.5,2419.5
3051,"Budameru Canal Nr Bdg At Nh-5, Keesarapally, Krishna",Canal,ANDHRA PRADESH,2016,Unsafe,26.81,"pH Out of Range, High BOD",,25.5,4.3,7.75,500.0,4.1,10.15,3.0,1700.0
3052,"Guntathippa Drain B/C With Ryves Canal At Ramavarappadu, Krishna",Canal,ANDHRA PRADESH,2016,Unsafe,27.6,"pH Out of Range, High BOD",,25.0,4.05,7.35,500.0,9.75,14.4,4.5,2150.0
3053,"Tulia Bagh Drain At Vemulavada, East Godavari",Canal,ANDHRA PRADESH,2016,Unsafe,22.05,"pH Out of Range, High BOD",,27.0,5.85,6.85,500.0,2.75,2.05,50.0,2437.5
3067,"Outlet Of Stp On Godavari, Rajahmundry, East Godavari",Canal,ANDHRA PRADESH,2016,Unsafe,22.17,"pH Out of Range, High BOD",,29.5,5.8,6.7,322.0,2.2,1.1,16.0,276.5
26,Well At Vijaywada,Groundwater,ANDHRA PRADESH,2016,Safe,0.8,None,24.0,,7.77,1189.0,,3.65,,400.0,
1513,"Bore Well. - Krishna Murthy, D.No. 48-16-43 Autonagar Vijjayawada, Krisna Dist",Groundwater,ANDHRA PRADESH,2016,Safe,0.8,None,24.5,,7.85,1237.0,,0.95,,400.0,
1514,"Bore Well - Vijay Kumar Autonagar Vijayawada, Krishna Dist",Groundwater,ANDHRA PRADESH,2016,Safe,0.8,None,23.0,,7.7,1218.5,,0.65,,400.0,
1516,Bore Well Of Navlok Gardens Nellore,Groundwater,ANDHRA PRADESH,2016,Unsafe,1.09,pH Out of Range,,,8.55,613.5,,0.55,,400.0,
1517,Bore Well. - Tungbhadra River Near Kurnool,Groundwater,ANDHRA PRADESH,2016,Safe,3.17,None,26.0,,7.75,4140.0,0.85,2.35,,18.0,
1518,"Bore Well. - Nandyal, Kurnool Dist",Groundwater,ANDHRA PRADESH,2016,Safe,3.35,None,25.0,,7.8,4310.0,0.9,2.75,,16.0,
